,id,title,popularity,imdb_id,averageRating,num_votes,title_type,start_year,tags
30,2288,Prison Break,916.822,tt0455275,8.3,592335,tvSeries,2005,action-&-adventure crime drama prison prisoner brother conspiracy escape fugitive wrongful-imprisonment ex-con escaped-prisoner effects-from-the-past inside political conspiracy deliberately brother row man innocent death prison order hope break mission
31,63770,The Late Show with Stephen Colbert,907.023,tt3697842,7.2,15108,tvSeries,2015,comedy talk politcs late-night-show batiste chris licht historic talks watch entertainment award relevant worlds late purcell tom mix barry nominated stewart night eclectic signature satire sullivan denise technology stay rehrig theater comedy jon executive stephen business bandleader band politics guests colbert brings emmy broadcast serve music featuring 1 human julien producers
32,11890,"Goede Tijden, Slechte Tijden",897.733,tt0096597,3.5,1470,tvSeries,1990,soap  running soap van longest goede jong tijden slechte meerdijk bouwhuis town revolving place families alberts lives dutch opera houten fictional gtst sanders takes
33,262364,Sjene prošlosti,887.951,tt33030426,5.0,33,tvSeries,2024,drama  prošlosti sjene
34,14750,Na Wspólnej,817.586,tt0388626,3.1,291,tvSeries,2003,soap  status characters tend 9 2008 unter wspólna minutes polish visited september channel apartment freemantle branch broadcast television soap german series episodes uns version celebrated közt achieve inhabitants media produced episode wspólnej tvn warsaw block opera barátok production flagship popular primetime running street based hungarian 1000th fourth 2003 lives special shot weekday loosely 20
35,138147,De Avondshow met Arjen Lubach,810.121,tt18069512,7.7,164,tvSeries,2022,talk news comedy satire arjen dives news lubach issues deepening inspiring forward guests day
36,71712,The Good Doctor,803.688,tt6470478,8.0,118443,tvSeries,2017,drama nurse san-francisco california medicine autism remake hospital aspergers-syndrome medical-drama medical based-on-tv-series admiring challenge connect young murphy savant save surgeon medical gifts hospital quiet join lives unable colleagues surgical unit prestigious skepticism autism relocates country shaun personally syndrome extraordinary life
37,2224,The Daily Show,781.386,tt0115147,8.3,48421,tvSeries,1996,news comedy sarcasm politics political-satire late-night-show culture politics stories pop tackle fakest news team biggest
38,156239,The Crown of the Kings. The Jagiellons,772.126,tt27301882,6.8,22,tvSeries,2023,soap war-&-politics queen love romance crown knight king period-drama medieval palace-intrigue 15th-century medieval-knight story lithuania duchy century poland dynasty kingdom jagiellonian rulling grand
39,1622,Supernatural,704.833,tt0460681,8.4,493027,tvSeries,2005,drama mystery sci-fi-&-fantasy angel monster exorcism supernatural paranormal paranormal-phenomena apocalypse demon on-the-road demonic-possession ghost demon-hunter fighting-evil brothers horror сверхъестественное battling subsequently brothers evil winchester raised encounter mysterious crisscross threat corners taught impala sam father supernatural roads force dean kill lives kind demonic mother paranormal dark chevy boys lost america soldiers country 67
